age,gender,platform,privacyNum,frequency,ifPrivacy,nationality
37,0,,8,0,1,0.0
75,1,,2,0,0,1.0
33,1,,2,0,0,1.0
62,1,,0,3,0,0.0
28,1,,8,1,1,0.0
32,1,,3,0,0,1.0
31,1,,2,0,0,1.0
66,0,,1,2,0,0.0
38,1,,7,2,1,0.0
41,1,,1,2,0,1.0
27,1,,10,1,1,0.0
23,1,,8,2,1,0.0
59,1,,6,3,1,1.0
42,1,,7,2,1,1.0
22,0,,10,1,1,0.0
35,1,,6,2,1,0.0
30,1,,9,0,1,1.0
60,0,,4,0,1,1.0
48,0,,7,1,0,0.0
70,0,,2,0,0,0.0
30,0,,7,1,0,0.0
65,1,,5,1,0,1.0
